Medical Text,Medicine\ Chemical Name,Organ,Disease,Hormone,Pharmacological Class,Common Medical Terms
"গ্লুকোকোর্টিকয়েডগুলি স্বাভাবিক মস্তিষ্কের বিকাশের জন্য প্রয়োজনীয়, টার্মিনাল পরিপক্কতা শুরু করে, অ্যাক্সন এবং ডেনড্রাইটগুলিকে পুনর্নির্মাণ করে এবং কোষের বেঁচে থাকাকে প্রভাবিত করে এবং হিপোক্যাম্পাল বিকাশেও ভূমিকা রাখতে পারে ।",গ্লুকোকোর্টিকয়েড,মস্তিষ্ক (মস্তিষ্কের বিকাশ এবং হিপ্পোক্যাম্পাস বিকাশ) অ্যাক্সন এবং ডেনড্রাইট (নিউরোন কাঠামো),,গ্লুকোকোর্টিকয়েড,,মস্তিষ্কের বিকাশ টার্মিনাল পরিপক্কতা অ্যাক্সন পুনর্নির্মাণ ডেনড্রাইট পুনর্নির্মাণ হিপোক্যাম্পাল বিকাশ কোষের বেঁচে থাকা
"গবেষণায় এটি নিশ্চিত করা হয়েছে, যার ফলে গ্লুকোকোর্টিকয়েড বা নোরাড্রেনালাইন কার্যকলাপের অবরোধ মানসিকভাবে প্রাসঙ্গিক তথ্য স্মরণে ব্যাঘাত ঘটায়। অতিরিক্ত উত্সগুলি এমন বিষয়গুলি দেখিয়েছে যাদের ভয় শেখার সাথে উচ্চ কর্টিসল স্তরের সাথে এই স্মৃতির আরও ভাল একীকরণ ছিল",গ্লুকোকোর্টিকয়েড,মস্তিষ্ক,,গ্লুকোকোর্টিকয়েড,,স্মৃতির একীকরণ তথ্য স্মরণ করটিসল স্তরের বৃদ্ধি ভয় শেখা নোরাড্রেনালাইন
"গ্লুকোকোর্টিকয়েডগুলি সতর্কতা ( মনোযোগের ঘাটতি ব্যাধি ) এবং জ্ঞানের (স্মৃতি) উপর উল্লেখযোগ্য প্রভাব রয়েছে বলেও দেখানো হয়েছে । এটি ইয়ারকেস-ডডসন বক্ররেখা অনুসরণ করে বলে মনে হয় , কারণ গবেষণায় দেখা গেছে যে গ্লুকোকোর্টিকয়েড বনাম মেমরির কর্মক্ষমতা একটি উল্টো-ডাউন ইউ প্যাটার্ন অনুসরণ করে, অনেকটা ইয়ারকেস-ডডসন বক্ররেখার মতো। ",গ্লুকোকোর্টিকয়েড,মস্তিষ্ক,মনোযোগের ঘাটতি ব্যাধি (Attention Deficit Disorder - ADHD) স্মৃতির সমস্যা,গ্লুকোকোর্টিকয়েড,,মনোযোগের ঘাটতি ব্যাধি (ADHD) স্মৃতি (Memory) ইয়ারকেস-ডডসন বক্ররেখা (Yerkes-Dodson Curve) মস্তিষ্কের কার্যক্ষমতা
" গ্লুকোকোর্টিকয়েডের উচ্চ মাত্রা মানসিকভাবে উদ্দীপনামূলক ইভেন্টের জন্য স্মৃতিশক্তি বাড়ায়, কিন্তু স্ট্রেস/মানসিক উত্তেজনার উত্সের সাথে সম্পর্কহীন উপাদানগুলির জন্য দুর্বল স্মৃতিশক্তির দিকে নিয়ে যায় না।  মেমরি একত্রীকরণের উপর গ্লুকোকোর্টিকয়েডের ডোজ-নির্ভর বর্ধিত প্রভাবের বিপরীতে, এই স্ট্রেস হরমোনগুলি ইতিমধ্যে সঞ্চিত তথ্য পুনরুদ্ধারকে বাধা দিতে দেখা গেছে।",গ্লুকোকোর্টিকয়েড,মস্তিষ্ক,,গ্লুকোকোর্টিকয়েড,,স্মৃতির একত্রীকরণ স্মৃতিশক্তি স্ট্রেস (মানসিক উত্তেজনা) ডোজ-নির্ভর প্রভাব
"গ্লুকোকোর্টিকয়েড ওষুধের দীর্ঘমেয়াদী এক্সপোজার, যেমন হাঁপানি এবং প্রদাহরোধী ওষুধ, চিকিত্সার সময় এবং অল্প পরিমাণে, চিকিত্সার পরে, উভয় ক্ষেত্রেই স্মৃতিশক্তি এবং মনোযোগের ঘাটতি তৈরি করতে দেখা গেছে, [ 14 ] [ 15 ] একটি অবস্থা "" স্টেরয়েড ডিমেনশিয়া "" নামে পরিচিত । ",গ্লুকোকোর্টিকয়েড,মস্তিষ্ক,স্মৃতিশক্তি এবং মনোযোগের ঘাটতি স্টেরয়েড ডিমেনশিয়া,গ্লুকোকোর্টিকয়েড,,স্মৃতিশক্তি ঘাটতি মনোযোগের ঘাটতি স্টেরয়েড ডিমেনশিয়া হাঁপানি প্রদাহরোধী ওষুধ
"গ্রোথ হরমোন ( GH ) বা সোমাটোট্রপিন , যা মানুষের আকারে হিউম্যান গ্রোথ হরমোন ( এইচজিএইচ বা এইচজিএইচ ) নামেও পরিচিত , এটি একটি পেপটাইড হরমোন যা মানুষ এবং অন্যান্য প্রাণীদের বৃদ্ধি, কোষের প্রজনন এবং কোষের পুনর্জন্মকে উদ্দীপিত করে।",গ্রোথ হরমোন,মানবদেহের কোষে,,গ্রোথ হরমোন,,"বৃদ্ধি, কোষ প্রজনন, কোষ পুনর্জন্ম।"
" GH হল একটি 191- অ্যামিনো অ্যাসিড , একক-চেইন পলিপেপটাইড যা পূর্ববর্তী পিটুইটারি গ্রন্থির পার্শ্বীয় ডানার মধ্যে সোমাটোট্রপিক কোষ দ্বারা সংশ্লেষিত, সঞ্চিত এবং নিঃসৃত হয় ।",গ্রোথ হরমোন,পিটুইটারি গ্রন্থি,,গ্রোথ হরমোন,,"191-অ্যামিনো অ্যাসিড, একক-চেইন পলিপেপটাইড, সোমাটোট্রপিক কোষ, পিটুইটারি গ্রন্থি।"
HGH-এর একটি রিকম্বিন্যান্ট ফর্ম সোমাট্রপিন ( INN ) নামক একটি প্রেসক্রিপশন ড্রাগ হিসাবে ব্যবহার করা হয় শিশুদের বৃদ্ধির ব্যাধি এবং প্রাপ্তবয়স্কদের বৃদ্ধির হরমোনের অভাবের চিকিৎসার জন্য ।,সোমাট্রপিন,পিটুইটারি গ্রন্থি,শিশুদের বৃদ্ধির ব্যাধি। প্রাপ্তবয়স্কদের গ্রোথ হরমোনের অভাব।,সোমাট্রপিন,,"সোমাট্রপিন, প্রেসক্রিপশন ড্রাগ, গ্রোথ হরমোন, বৃদ্ধির ব্যাধি।"
শিল্প কৃষিতে আরও দক্ষতার সাথে গবাদি পশু পালনে ব্যবহারের জন্য জিএইচ অধ্যয়ন করা হয়েছে এবং গবাদি পশু উৎপাদনে জিএইচ ব্যবহার করার জন্য সরকারী অনুমোদন পাওয়ার জন্য বেশ কিছু প্রচেষ্টা করা হয়েছে।,গ্রোথ হরমোন,গবাদি পশুর দেহের কোষ,,গ্রোথ হরমোন,,"গবাদি পশু, উৎপাদন, দক্ষতা, শিল্প কৃষি, সরকারি অনুমোদন।"
"গ্রোথ হরমোন বা Growth Hormone  আমাদের শারীরিক বৃদ্ধি ও উচ্চতার জন্য দায়ী। আমাদের হাড়ের গঠন, পেশীর বিকাশে এর অবদান রয়েছে। আমাদের দেহে বয়ঃসন্ধিকালে এই হরমোন তৈরির পরিমাণ সবচেয়ে বেশি। ",গ্রোথ হরমোন,পিটুইটারি গ্ল্যান্ড,,গ্রোথ হরমোন,,"শারীরিক বৃদ্ধি, উচ্চতা, হাড়ের গঠন, পেশীর বিকাশ, বয়ঃসন্ধি।"
সোমাটোট্রোপ বলা হয়। এরা সম্মিলিতভাবে প্রতিদিন ১ থেকে ২ মিলিগ্রাম হরমোন ক্ষরণ করতে থাকে। তবে এই ক্ষরণের প্রক্রিয়া এক টানা হয় এমন না।,গ্রোথ হরমোন,পিটুইটারি গ্ল্যান্ড,,গ্রোথ হরমোন,,"সোমাটোট্রোপ, হরমোন ক্ষরণ, প্রতিদিন ১-২ মিলিগ্রাম, ক্ষরণের প্রক্রিয়া।"
গ্রোথ হরমোন আমাদের শরীরের বেড়ে ওঠার জন্য প্রয়োজন। বাড়ন্ত বয়সে এই হরমোন এর ক্রিয়ার ফলে আমাদের শরীরের হাড় ও অন্যান্য অঙ্গপ্রত্যঙ্গ প্রাপ্তবয়স্ক সময়ের আকার ও আকৃতির দিকে বেড়ে ওঠা ও পরিবর্তিত হওয়া শুরু করে। গ্রোথ হরমোনের প্রভাবে আমাদের লিভার ইনসুলিন লাইক গ্রোথ ফ্যাক্টর নিঃসরণ করে।,গ্রোথ হরমোন,পিটুইটারি গ্ল্যান্ড (GH নিঃসরণ করে)। লিভার,,গ্রোথ হরমোন,,"হাড় বৃদ্ধি, অঙ্গপ্রত্যঙ্গের বিকাশ, ইনসুলিন-লাইক গ্রোথ ফ্যাক্টর (IGF), প্রাপ্তবয়স্ক আকার।"
গ্রোথ হরমোনের প্রভাবে আমাদের লিভার ইনসুলিন লাইক গ্রোথ ফ্যাক্টর নিঃসরণ করে। যা IGF-1 (Insulin like Growth Factor -1) নামেও পরিচিত। এটি এবং এর মতো আরও কিছু উপাদান রয়েছে যা হাড়ের বৃদ্ধিতে সাহায্য করে।,গ্রোথ হরমোন,লিভার,,গ্রোথ হরমোন,,ইনসুলিন-লাইক
কালোবাজারে কৃত্রিম গ্রোথ হরমোনের বিশাল ব্যবসা রয়েছে। এথলেট ও বডিবিল্ডারদের মাঝে এর চাহিদাও রয়েছে ব্যাপক।,কৃত্রিম গ্রোথ হরমোন,পিটুইটারি গ্ল্যান্ড,,কৃত্রিম গ্রোথ হরমোন,,"কালোবাজার, কৃত্রিম গ্রোথ হরমোন, এথলেট, বডিবিল্ডার।"
"গ্রোথ হরমোন (GH) , পেপটাইড হরমোন যা পিটুইটারি গ্রন্থির পূর্ববর্তী লোব দ্বারা নিঃসৃত হয় । এটি হাড় সহ শরীরের সমস্ত টিস্যুর বৃদ্ধিকে উদ্দীপিত করে । ",গ্রোথ হরমোন,পিটুইটারি গ্রন্থি (যেখান থেকে GH নিঃসৃত হয়)। হাড় ও অন্যান্য শরীরের টিস্যু,,গ্রোথ হরমোন,,"পিটুইটারি গ্রন্থি, পূর্ববর্তী লোব, টিস্যু বৃদ্ধি, হাড়ের বৃদ্ধি।"
"গ্রোথ হরমোন সংশ্লেষিত হয় এবং পূর্ববর্তী পিটুইটারি কোষ দ্বারা নিঃসৃত হয়সোমাটোট্রফস, যা প্রতিদিন এক থেকে দুই মিলিগ্রাম হরমোন নিঃসরণ করে।",গ্রোথ হরমোন,পিটুইটারি গ্ল্যান্ড (যেখান থেকে GH নিঃসৃত হয়)। সোমাটোট্রফস,,গ্রোথ হরমোন,,"সোমাটোট্রফস, পিটুইটারি কোষ, হরমোন নিঃসরণ, প্রতিদিন এক থেকে দুই মিলিগ্রাম।"
"জৈব রাসায়নিক পরিভাষায়, GH প্রোটিন সংশ্লেষণকে উদ্দীপিত করে এবং টিস্যু বৃদ্ধির জন্য প্রয়োজনীয় শক্তি সরবরাহ করতে ফ্যাট ভাঙ্গন বাড়ায়।",গ্রোথ হরমোন,,,গ্রোথ হরমোন,,"প্রোটিন সংশ্লেষণ, টিস্যু বৃদ্ধি, শক্তির সরবরাহ, ফ্যাট ভাঙন।"
"গ্রোথ হরমোন টিস্যুতে সরাসরি কাজ করতে পারে, তবে এর বেশিরভাগ প্রভাব লিভার এবং অন্যান্য টিস্যুগুলির উদ্দীপনা দ্বারা মধ্যস্থতা করা হয় যা প্রাথমিকভাবে ইনসুলিন-সদৃশ বৃদ্ধির কারণগুলি তৈরি এবং প্রকাশ করে ।",গ্রোথ হরমোন,লিভার,,গ্রোথ হরমোন,,"টিস্যু উদ্দীপনা, লিভার, ইনসুলিন-সদৃশ বৃদ্ধির কারণ, GH প্রভাব।"
"ইনসুলিন-সদৃশ গ্রোথ ফ্যাক্টর শব্দটি ইনসুলিনের ক্রিয়াকে অনুকরণ করার জন্য এই কারণগুলির উচ্চ ঘনত্বের ক্ষমতা থেকে উদ্ভূত হয়েছে, যদিও তাদের প্রাথমিক কাজটি বৃদ্ধিকে উদ্দীপিত করা। ",ইনসুলিন-সদৃশ,লিভার,,ইনসুলিন-সদৃশ,,"ইনসুলিন, গ্রোথ ফ্যাক্টর, বৃদ্ধি, উচ্চ ঘনত্ব, অনুকরণ।"
"GH ক্ষরণ স্পন্দনশীল, গভীর ঘুমের সূচনার পরে নিঃসরণে বৃদ্ধি ঘটে যা বয়ঃসন্ধির সময় বিশেষভাবে উল্লেখযোগ্য। ",গ্রোথ হরমোন,পিটুইটারি গ্ল্যান্ড,,গ্রোথ হরমোন,,"GH ক্ষরণ, স্পন্দনশীল, গভীর ঘুম, বয়ঃসন্ধি, নিঃসরণ বৃদ্ধি।"
"স্বাভাবিক বিষয়গুলিতে, খাদ্য গ্রহণ হ্রাস এবং শারীরবৃত্তীয় চাপের প্রতিক্রিয়ায় জিএইচ নিঃসরণ বৃদ্ধি পায় এবং খাদ্য গ্রহণের প্রতিক্রিয়াতে হ্রাস পায়।",গ্রোথ হরমোন,পিটুইটারি গ্ল্যান্ড,,গ্রোথ হরমোন,,"খাদ্য গ্রহণ, শারীরবৃত্তীয় চাপ, GH নিঃসরণ, প্রতিক্রিয়া।"
GH এর ঘাটতি ছোট আকারের অনেক কারণের মধ্যে একটিবামনতা​ এটি প্রাথমিকভাবে ভ্রূণের বিকাশের সময় হাইপোথ্যালামাস বা পিটুইটারি গ্রন্থির ক্ষতি (জন্মগত জিএইচ ঘাটতি ) বা জন্মের পরে (জিএইচ ঘাটতি অর্জিত) থেকে পরিণত হয়।,গ্রোথ হরমোন,পিটুইটারি গ্ল্যান্ড (যেখানে GH নিঃসৃত হয়)। হাইপোথ্যালামাস,জন্মগত GH ঘাটতি (Congenital Growth Hormone Deficiency)। অর্জিত GH ঘাটতি,গ্রোথ হরমোন,,"GH ঘাটতি, ছোট আকার, ভ্রূণের বিকাশ, হাইপোথ্যালামাস, পিটুইটারি গ্রন্থির ক্ষতি, জন্মগত, অর্জিত।"
"জিনের মিউটেশনের কারণে অন্যান্য পিটুইটারি হরমোনের সংশ্লেষণ এবং নিঃসরণও কমে যেতে পারে। কিছু ক্ষেত্রে, GH এর ঘাটতি GHRH এর ঘাটতির ফল, এই ক্ষেত্রে GH ক্ষরণ GHRH এর আধান দ্বারা উদ্দীপিত হতে পারে।",গ্রোথ হরমোন,পিটুইটারি গ্ল্যান্ড (যেখানে GH এবং অন্যান্য পিটুইটারি হরমোন নিঃসৃত হয়)। হাইপোথ্যালামাস,GH ঘাটতি (Growth Hormone Deficiency)। GHRH ঘাটতি (Growth Hormone-Releasing Hormone Deficiency)। জিনের মিউটেশন,গ্রোথ হরমোন,,"GH ঘাটতি, GHRH ঘাটতি, জিনের মিউটেশন, হরমোনের সংশ্লেষণ, নিঃসরণ।"
"গ্রোথ হরমোন এর ঘাটতি GHRH এর ঘাটতির ফল, এই ক্ষেত্রে GH ক্ষরণ GHRH এর আধান দ্বারা উদ্দীপিত হতে পারে। অন্যান্য ক্ষেত্রে, সোমাটোট্রফগুলি নিজেরাই GH উত্পাদন করতে অক্ষম, বা হরমোন নিজেই গঠনগতভাবে অস্বাভাবিক এবং সামান্য বৃদ্ধি-প্রচারকারী কার্যকলাপ রয়েছে।",গ্রোথ হরমোন,পিটুইটারি গ্ল্যান্ড (যেখানে GH উৎপাদন হয়)। হাইপোথ্যালামাস,GH ঘাটতি (Growth Hormone Deficiency)। GHRH ঘাটতি (Growth Hormone-Releasing Hormone Deficiency)। সোমাটোট্রফ সমস্যাগুলি,গ্রোথ হরমোন,,"GH ঘাটতি, GHRH ঘাটতি, সোমাটোট্রফ, অস্বাভাবিক হরমোন গঠন, বৃদ্ধি-প্রচারকারী কার্যকলাপ।"
"ছোট আকার এবং জিএইচের ঘাটতি প্রায়ই শিশুদের মধ্যে পাওয়া যায় যাদের মনসামাজিক বামনতা ধরা পড়ে, যা গুরুতর মানসিক বঞ্চনার ফলে হয়। ",গ্রোথ হরমোন,পিটুইটারি গ্ল্যান্ড,মনোসামাজিক বামনত্ব (Psychosocial Dwarfism)। GH ঘাটতি,গ্রোথ হরমোন,,"ছোট আকার, GH ঘাটতি, মনসামাজিক বামনতা, মানসিক বঞ্চনা।"
"সোমাটোট্রফগুলি নিজেরাই GH উত্পাদন করতে অক্ষম, বা হরমোন নিজেই গঠনগতভাবে অস্বাভাবিক এবং সামান্য বৃদ্ধি-প্রচারকারী কার্যকলাপ রয়েছে। ",গ্রোথ হরমোন,পিটুইটারি গ্ল্যান্ড,GH ঘাটতি (Growth Hormone Deficiency)। সোমাটোট্রফ,গ্রোথ হরমোন,,"সোমাটোট্রফ, GH উৎপাদন অক্ষমতা, হরমোনের গঠনগত অস্বাভাবিকতা, বৃদ্ধি-প্রচারকারী কার্যকলাপ।"
"গ্রোথ হরমোন এর ঘাটতি প্রায়শই GH এর ইনজেকশন দিয়ে চিকিত্সা করা হয়। কয়েক দশক ধরে, যদিও, হরমোনের প্রাপ্যতা সীমিত ছিল, কারণ এটি শুধুমাত্র মানুষের মৃতদেহের পিটুইটারি থেকে প্রাপ্ত হয়েছিল।",গ্রোথ হরমোন,পিটুইটারি গ্ল্যান্ড,,গ্রোথ হরমোন,,"GH ইনজেকশন, GH ঘাটতি, হরমোনের প্রাপ্যতা, পিটুইটারি গ্রন্থি।"
"গ্রোথ হরমোনএর ঘাটতি সহ শিশুরা রিকম্বিন্যান্ট GH-এর ইনজেকশনে ভাল সাড়া দেয়, প্রায়শই কাছাকাছি-স্বাভাবিক উচ্চতা অর্জন করে।",গ্রোথ হরমোন,পিটুইটারি গ্ল্যান্ড,,গ্রোথ হরমোন,,"GH ঘাটতি, রিকম্বিন্যান্ট GH, ইনজেকশন, উচ্চতা বৃদ্ধি।"
ছোট আকারের একটি বিরল রূপ GH এর ক্রিয়াকলাপের জন্য উত্তরাধিকারসূত্রে সংবেদনশীলতার কারণে ঘটে।,গ্রোথ হরমোন,পিটুইটারি গ্ল্যান্ড,,গ্রোথ হরমোন,,"ছোট আকার, GH ক্রিয়াকলাপ, উত্তরাধিকারসূত্রে সংবেদনশীলতা।"
"এই ব্যাধি হিসাবে পরিচিতল্যারন ডোয়ার্ফিজম এবং অস্বাভাবিক GH রিসেপ্টর দ্বারা চিহ্নিত করা হয় , যার ফলে IGF-1 এর GH-উত্তেজক উত্পাদন হ্রাস পায় এবং দুর্বল বৃদ্ধি ঘটে। ",গ্রোথ হরমোন,"ছোট আকার, GH ক্রিয়াকলাপ, উত্তরাধিকারসূত্রে সংবেদনশীলতা।",ল্যারন ডোয়ার্ফিজম (Laron Dwarfism)। GH রিসেপ্টরের অস্বাভাবিকতা,গ্রোথ হরমোন,,"ল্যারন ডোয়ার্ফিজম, GH রিসেপ্টর, IGF-1, GH-উত্তেজক উত্পাদন, দুর্বল বৃদ্ধি।"
"গ্রোথ হরমোনএর ঘাটতি প্রায়শই প্রাপ্তবয়স্ক হয়ে থাকে, যদিও শৈশবে আক্রান্ত কিছু লোকের বয়ঃসন্ধিকালে স্বাভাবিক GH ক্ষরণ থাকে।",গ্রোথ হরমোন,পিটুইটারি গ্ল্যান্ড,,গ্রোথ হরমোন,,"GH ঘাটতি, প্রাপ্তবয়স্ক, বয়ঃসন্ধি, GH ক্ষরণ।"
"কিছু শিশু, প্রাথমিকভাবে যাদের বংশগতভাবে জিএইচ সংশ্লেষণে অক্ষমতা রয়েছে, তারা হরমোনের ইনজেকশনের প্রতিক্রিয়ায় অ্যান্টিবডি তৈরি করে। ",গ্রোথ হরমোন,পিটুইটারি গ্ল্যান্ড,,গ্রোথ হরমোন,,"GH সংশ্লেষণ অক্ষমতা, হরমোন ইনজেকশন, অ্যান্টিবডি তৈরি, বংশগত।"
"GH এর অভাবের সাথে সম্পর্কিত নয় এমন ছোট আকারের শিশুরাও হরমোন ইনজেকশনের প্রতিক্রিয়ায় বৃদ্ধি পেতে পারে, যদিও বড় ডোজ প্রায়ই প্রয়োজন হয়।",গ্রোথ হরমোন,পিটুইটারি গ্ল্যান্ড,,গ্রোথ হরমোন,,"GH অভাব, হরমোন ইনজেকশন, ছোট আকার, বড় ডোজ।"
"প্রাপ্তবয়স্কদের মধ্যে GH এর ঘাটতি ক্লান্তি , শক্তি হ্রাস, বিষণ্ণ মেজাজ, পেশী শক্তি হ্রাস, পেশী ভর হ্রাস, পাতলা এবং শুষ্ক ত্বক , অ্যাডিপোজ টিস্যু বৃদ্ধি এবং হাড়ের ঘনত্ব হ্রাসের সাথে সম্পর্কিত । ",গ্রোথ হরমোন,পিটুইটারি গ্ল্যান্ড,প্রাপ্তবয়স্কদের GH ঘাটতি,গ্রোথ হরমোন,,"GH ঘাটতি, ক্লান্তি, শক্তি হ্রাস, বিষণ্ণ মেজাজ, পেশী শক্তি হ্রাস, পেশী ভর হ্রাস, পাতলা ত্বক, অ্যাডিপোজ টিস্যু বৃদ্ধি, হাড়ের ঘনত্ব হ্রাস।"
"গ্রোথ হরমোন এর সাথে চিকিত্সা এই অস্বাভাবিকতার কিছু বিপরীত করে কিন্তু তরল ধারণ, ডায়াবেটিস মেলিটাস এবং উচ্চ রক্তচাপ ( উচ্চ রক্তচাপ ) হতে পারে।",গ্রোথ হরমোন,পিটুইটারি গ্ল্যান্ড,GH ঘাটতি (Growth Hormone Deficiency)। তরল ধারণ (Fluid Retention)। ডায়াবেটিস মেলিটাস (Diabetes Mellitus)। উচ্চ রক্তচাপ (Hypertension)।,গ্রোথ হরমোন,,"তরল ধারণ, ডায়াবেটিস, উচ্চ রক্তচাপ, GH চিকিত্সা, বিপরীত প্রভাব।"
অতিরিক্ত জিএইচ উত্পাদন প্রায়শই পিটুইটারি গ্রন্থির সোমাটোট্রফ কোষের একটি সৌম্য টিউমার (অ্যাডিনোমা) দ্বারা সৃষ্ট হয়।,গ্রোথ হরমোন,পিটুইটারি গ্ল্যান্ড,অতিরিক্ত GH উত্পাদন (Excess Growth Hormone Production)। পিটুইটারি গ্রন্থির টিউমার,গ্রোথ হরমোন,,"অতিরিক্ত GH, পিটুইটারি গ্রন্থির টিউমার, অ্যাডিনোমা, সোমাটোট্রফ কোষ।"
"ফুসফুসের একটি টিউমার বা ল্যাঙ্গারহ্যান্সের অগ্ন্যাশয় দ্বীপপুঞ্জের একটি টিউমার GHRH তৈরি করে, যা সোমাটোট্রফগুলিকে প্রচুর পরিমাণে GH তৈরি করতে উদ্দীপিত করে।",গ্রোথ হরমোন,পিটুইটারি গ্ল্যান্ড (যেখানে GH নিঃসৃত হয়)। ফুসফুস (যেখানে টিউমার হতে পারে)। অগ্ন্যাশয় দ্বীপপুঞ্জ,GHRH উৎপাদনকারী টিউমার (GHRH-producing Tumor) ফুসফুসের টিউমার (Lung Tumor) ল্যাঙ্গারহ্যান্সের অগ্ন্যাশয় দ্বীপপুঞ্জের টিউমার (Langerhans' Islet Tumor)  Sign in All Images Videos Forums Web News Books More,গ্রোথ হরমোন,,"টিউমার, GHRH, GH উত্পাদন, সোমাটোট্রফ কোষ।"
গ্রোথ হরমোনএর একটোপিক উত্পাদন (টিস্যুতে টিউমার কোষ দ্বারা উত্পাদন যা সাধারণত GH সংশ্লেষিত হয় না) হরমোনের আধিক্য ঘটায়,গ্রোথ হরমোন,পিটুইটারি গ্ল্যান্ড,একটোপিক GH উত্পাদন (Ectopic Growth Hormone Production) অতিরিক্ত GH,গ্রোথ হরমোন,,"একটোপিক উত্পাদন, টিউমার কোষ, GH আধিক্য, GH সংশ্লেষণ।"
"অ্যাক্রোমেগালি বলতে হাত, পা, চিবুক এবং নাক সহ শরীরের দূরবর্তী (অ্যাক্রাল) অংশগুলির বৃদ্ধি বোঝায়। বৃদ্ধিটি তরুণাস্থি , পেশী, ত্বকের নিচের টিস্যু এবং ত্বকের অতিরিক্ত বৃদ্ধির কারণে হয় ।",গ্রোথ হরমোন,পিটুইটারি গ্ল্যান্ড,অ্যাক্রোমেগালি,গ্রোথ হরমোন,,"অ্যাক্রোমেগালি, শরীরের দূরবর্তী অংশের বৃদ্ধি, তরুণাস্থি, পেশী, ত্বকের নিচের টিস্যু, অতিরিক্ত ত্বক বৃদ্ধি।"
"অ্যাক্রোমেগালি রোগীদের একটি বিশিষ্ট চোয়াল, একটি বড় নাক, এবং বড় হাত ও পায়ের পাশাপাশি জিহ্বা , হৃৎপিণ্ড , লিভার এবং কিডনি সহ অন্যান্য বেশিরভাগ টিস্যু বৃদ্ধি পায় ।",গ্রোথ হরমোন,"পিটুইটারি গ্ল্যান্ড (যেখানে GH নিঃসৃত হয়)। চোয়াল, নাক, হাত, পা, জিহ্বা, হৃৎপিণ্ড, লিভার, কিডনি (যেসব অঙ্গ/টিস্যুতে বৃদ্ধি ঘটে)।",অ্যাক্রোমেগালি,গ্রোথ হরমোন,,"অ্যাক্রোমেগালি, বিশিষ্ট চোয়াল, বড় নাক, বড় হাত ও পা, টিস্যু বৃদ্ধি, জিহ্বা, হৃৎপিণ্ড, লিভার, কিডনি।"
"গ্রোথ হরমোন-এর বিপাকীয় ক্রিয়াগুলি ইনসুলিনের বিরোধী (বিপরীত), তাই অ্যাক্রোমেগালি আক্রান্ত কিছু রোগীর ডায়াবেটিস মেলিটাস হয়। ",গ্রোথ হরমোন,"পিটুইটারি গ্ল্যান্ড (যেখানে GH নিঃসৃত হয়)। অঙ্গ/টিস্যু যা GH-এর বিপাকীয় প্রভাবের মধ্যে পড়ে, যেমন লিভার, পেশী, ফ্যাটি টিস্যু ইত্যাদি।",অ্যাক্রোমেগালি (Acromegaly)। ডায়াবেটিস মেলিটাস,গ্রোথ হরমোন,,"GH এর বিপাকীয় ক্রিয়াকলাপ, ইনসুলিন বিরোধী প্রভাব, ডায়াবেটিস, অ্যাক্রোমেগালি।"
"অ্যাক্রোমেগালি রোগীদের বৃহৎ অন্ত্রের ম্যালিগন্যান্ট টিউমার হওয়ার ঝুঁকিও বেড়ে যায় । কিছু সোমাটোট্রফ টিউমারও প্রোল্যাক্টিন তৈরি করে, যা অস্বাভাবিক স্তন্যপান ( গ্যালাক্টোরিয়া ) হতে পারে । ",গ্রোথ হরমোন,পিটুইটারি গ্ল্যান্ড (যেখানে GH এবং প্রোল্যাক্টিন নিঃসৃত হয়)। বৃহৎ অন্ত্র,অ্যাক্রোমেগালি (Acromegaly) বৃহৎ অন্ত্রের ম্যালিগন্যান্ট টিউমার (Malignant Tumor of the Large Intestine) গ্যালাক্টোরিয়া,গ্রোথ হরমোন,," অ্যাক্রোমেগালি, বৃহৎ অন্ত্রের টিউমার, প্রোল্যাক্টিন, গ্যালাক্টোরিয়া, সোমাটোট্রফ টিউমার। "
অ্যাক্রোমেগালি রোগীদের সাধারণত পিটুইটারি টিউমারের অস্ত্রোপচারের মাধ্যমে চিকিত্সা করা হয়।,গ্রোথ হরমোন,পিটুইটারি গ্ল্যান্ড,অ্যাক্রোমেগালি,গ্রোথ হরমোন,,"পিটুইটারি টিউমার, অস্ত্রোপচার, অ্যাক্রোমেগালি।"
পিটুইটারিতে গ্রোথ হরমোন (GH) নিঃসরণ হাইপোথ্যালামাসের নিউরোসেক্রেটরি নিউক্লিয়াস দ্বারা নিয়ন্ত্রিত হয় । এই কোষগুলি পেপটাইড গ্রোথ হরমোন-রিলিজিং হরমোন (GHRH বা সোমাটোক্রিনিন ) এবং গ্রোথ হরমোন-ইনহিবিটিং হরমোন (GHIH বা সোমাটোস্ট্যাটিন ) পিটুইটারির পার্শ্ববর্তী হাইপোফিসিল পোর্টাল শিরাস্থ রক্তে নিঃসরণ করে।,গ্রোথ হরমোন,পিটুইটারি গ্ল্যান্ড (যেখানে GH নিঃসৃত হয়)। হাইপোথ্যালামাস,অ্যাক্রোমেগালি,গ্রোথ হরমোন,,"GH, GHRH, GHIH, পিটুইটারি, হাইপোথ্যালামাস, নিউরোসেক্রেটরি নিউক্লিয়াস, হরমোন নিঃসরণ।"
